Date,User,ABSA_Tweets
2022-12-30 07:51:42+00:00,KingTsholo012,@Devandy10 @PUMASouthAfrica @AbsaSouthAfrica @Durban10k Welcome  reliable people bus driver 👌😁
2022-12-30 07:49:26+00:00,AbsaSouthAfrica,@Michell09029833 Hi there. We're sorry to see that your experience was less than expected. At which branch did you initially have your appointment?
2022-12-30 07:46:57+00:00,AbsaSouthAfrica,@MoonlightMars1 Hi there. Thanks for reaching out to us. Please visit your Absa nearest branch with both of calls ID and proof of residence.  https://t.co/Y91Sa2GD66
2022-12-30 07:46:00+00:00,AbsaSouthAfrica,"@Raxwell_K Hi 
There. Where are you sending the documents to? https://t.co/Y91Sa2GD66"
2022-12-30 07:44:55+00:00,AbsaSouthAfrica,@fntse Hi there. you think that your banking profile might have been compromised. Call the Absa Fraud Hotline directly via the Banking App by using the Click to call functionality or call 0860 557 557 or +27 (0)11 501 5089 to report the suspicious activity.
2022-12-30 07:38:12+00:00,AbsaSouthAfrica,@donny_dre17 Hi there. Have you since received the payment?
2022-12-30 07:36:24+00:00,AbsaSouthAfrica,"@G_sTaRtjie It may still be cleared during the course of the day, today. Please keep an eye out and let us know."
2022-12-30 07:35:24+00:00,Devandy10,@ganta4 @PUMASouthAfrica @AbsaSouthAfrica @Durban10k Thank you My Lady 👸🏽💕
2022-12-30 07:35:14+00:00,Devandy10,@KingTsholo012 @PUMASouthAfrica @AbsaSouthAfrica @Durban10k Thank you King Tsholo 🙌🏽🙌🏽
2022-12-30 07:28:19+00:00,BlackTalon947,"@AbsaSouthAfrica I have applied for an overdraft with your banking app and I have been asked to send 3 months bank statements, I have done this 4 times with the reference number supplied to me.I keep getting an email to resend with the correct ref number. Ready to move to @FNBSA"
2022-12-30 07:26:28+00:00,AbsaSouthAfrica,@SthembisoDladl6 You're welcome.
2022-12-30 07:26:27+00:00,knaidoo8,"@SPD_Mom_SA @AbsaSouthAfrica 
Absaidirect"
2022-12-30 07:25:17+00:00,ganta4,@Devandy10 @PUMASouthAfrica @AbsaSouthAfrica @Durban10k Well delivered
2022-12-30 07:17:52+00:00,KingTsholo012,@Devandy10 @PUMASouthAfrica @AbsaSouthAfrica @Durban10k Well done Lebo 👏  💐
2022-12-30 07:14:47+00:00,Raxwell_K,"@AbsaSouthAfrica I've been trying to email documents but 6 emails later, I keep getting an error that the reference is not correct. Please assist"
2022-12-30 07:14:12+00:00,PhetoPatrick,@AbsaSouthAfrica if u thnk we enjoy going inside the bank ur so fucken able to spoil sum1s day and if iv never reported fraud in my account dont block my internet banking
2022-12-30 07:11:43+00:00,zikhonantsetho,@AbsaSouthAfrica @AbsaSouthAfrica it shows that it was redeemed.
2022-12-30 07:08:14+00:00,AbsaSouthAfrica,"@electrosteven Hi there. We regret your negative experience regarding this matter. Please DM your ID number, contact details and account number; we'll refer this to our team to reach out to you for assistance. https://t.co/Y91Sa2GD66"
2022-12-30 07:05:10+00:00,AbsaSouthAfrica,"@BafanaBenzo We understand your frustration and would like the opportunity to assist. Kindly DM your detailed concern, ID number, and email address."
2022-12-30 07:02:36+00:00,AbsaSouthAfrica,@zikhonantsetho Does it show that the CashSend was redeemed? Or does it indicate that it's still unredeemed?
2022-12-30 06:57:28+00:00,Tshegokey,@AbsaSouthAfrica I’ve sent a DM.
2022-12-30 06:57:00+00:00,Tshegokey,@AbsaSouthAfrica The matter has been escalated for the longest time now. This is very much unprofessional. We hope to receive assistance.
2022-12-30 06:45:43+00:00,Devandy10,"@KabeloSekaleli @PUMASouthAfrica @AbsaSouthAfrica @Durban10k It’s a day before my birthday, always tricky that one but I’ve put it on my list 😄😄🙌🏽"
2022-12-30 06:41:44+00:00,AbsaSouthAfrica,@Tshegokey Please DM the requested information.
2022-12-30 06:41:19+00:00,AbsaSouthAfrica,"@Tshegokey Thanks for getting back to us. Kindly share the executor's ID number, email address, and cellphone number. We will escalate this matter to our team for assistance and provide feedback."
2022-12-30 06:38:25+00:00,mauayako,@AbsaKenya @Absa @AbsaSouthAfrica Corporate colours are used in decorating fyi 😊 who did your decor lol 😆 😄
